날짜,hs_code,품목명,국가명,수출입구분,수출금액,중량
2021-01-01,8561,반도체,미국,Export,475850010,3686.770314875885
2021-02-01,8592,반도체,미국,Export,58987708,2350.319570632749
2021-03-01,8512,반도체,미국,Export,20086402,4852.558275593772
2021-04-01,8573,반도체,미국,Export,496183664,3125.659397175811
2021-05-01,8598,반도체,미국,Export,152702278,3098.0791841396594
2021-06-01,8589,반도체,미국,Export,124057956,543.9715292108219
2021-07-01,8573,반도체,미국,Export,238713817,4313.707993007971
2021-08-01,8527,반도체,미국,Export,474953913,4831.59696206534
2021-09-01,8562,반도체,미국,Export,123137974,1281.0247835274574
2021-10-01,8517,반도체,미국,Import,0,4555.6699701860325
2021-11-01,8511,반도체,미국,Export,218326378,1118.9141480541252
2021-12-01,8527,반도체,미국,Export,389815083,4703.544813664526
2022-01-01,8557,반도체,미국,Import,0,2895.175474586457
2022-02-01,8594,반도체,미국,Export,200451871,1429.61025569209
2022-03-01,8569,반도체,미국,Export,275921080,790.5287023763369
2022-04-01,8580,반도체,미국,Export,217466725,2034.9194390602916
2022-05-01,8590,반도체,미국,Import,0,3971.860148602908
2022-06-01,8550,반도체,미국,Export,458330241,4265.189031170016
2022-07-01,8532,반도체,미국,Export,337732213,3363.0195474257334
2022-08-01,8544,반도체,미국,Import,0,686.0118050976783
2022-09-01,8523,반도체,미국,Export,251959842,2661.390863971771
2022-10-01,8586,반도체,미국,Export,108842409,4489.241618800245
2022-11-01,8513,반도체,미국,Import,0,1321.5319228294873
2022-12-01,8545,반도체,미국,Import,0,3034.4407857938263
2023-01-01,8551,반도체,미국,Import,0,3203.678406901075
2023-02-01,8553,반도체,미국,Export,214089874,4428.073268702455
2023-03-01,8598,반도체,미국,Export,165821702,639.2544301856161
2023-04-01,8586,반도체,미국,Export,431757985,134.06543960283443
2023-05-01,8546,반도체,미국,Export,349293656,1420.1204356127553
2023-06-01,8541,반도체,미국,Import,0,3544.7928985863714
2023-07-01,8561,반도체,미국,Export,130969270,3511.890936914963
2023-08-01,8565,반도체,미국,Export,28074604,3086.8652365014946
