날짜,hs_code,품목명,국가명,수출입구분,수출금액,중량
2025-09-01,8563,반도체,베트남,Export,498235163,4000.436271893688
2021-04-01,8573,반도체,미국,Export,496183664,3125.659397175811
2021-01-01,8561,반도체,미국,Export,475850010,3686.770314875885
2021-08-01,8527,반도체,미국,Export,474953913,4831.59696206534
2022-12-01,8551,반도체,베트남,Export,469602963,517.0070819869482
2024-06-01,8548,반도체,베트남,Export,466838151,3733.852835313749
2021-11-01,8596,반도체,베트남,Export,463273115,
2025-03-01,8517,반도체,베트남,Export,463016009,3950.481962795028
2025-11-01,8581,반도체,베트남,Export,461960067,3508.560796534884
2022-06-01,8550,반도체,미국,Export,458330241,4265.189031170016
